order_item_id,order_id,product_id,quantity,price_sold,discount_percent
1,1,1635,1,278.8,14.78
2,1,301,1,635.5,30.57
3,2,1540,3,1739.26,12.15
4,2,877,2,3448.21,16.42
5,2,61,1,747.23,9.04
6,2,2429,1,1567.73,15.19
7,3,1983,1,2227.37,16.31
8,4,1529,2,2943.08,14.47
9,5,2160,1,2237.24,15.6
10,5,1390,1,1100.69,39.52
11,6,2394,1,2704.06,23.61
12,6,266,1,442.68,5.22
13,6,321,1,536.5,14.83
14,6,1110,1,249.33,33.44
15,7,2308,1,2823.99,11.03
16,7,1003,1,421.45,11.09
17,7,1898,2,1593.01,39.64
18,7,209,1,469.98,28.69
19,8,1204,3,2443.97,25.96
20,8,2091,1,1050.96,10.81
21,8,1153,1,4008.24,17.24
22,8,1857,1,1011.01,7.84
23,9,654,1,2658.57,5.68
24,9,2350,1,1714.89,7.54
25,10,1453,1,1149.92,21.64
26,11,2334,1,1904.82,22.79
27,11,2335,1,1339.02,28.5
28,11,1957,1,2687.98,14.98
29,11,2464,1,2768.63,5.52
30,12,1501,1,2057.42,38.5
31,13,1714,1,1692.15,38.93
32,13,859,1,750.87,33.43
33,14,1895,3,2238.91,26.9
34,14,520,1,1578.92,14.34
35,15,1468,1,2885.21,19.65
36,16,2234,1,3050.69,29.43
37,16,1324,1,2255.48,24.64
38,16,2111,1,1789.79,30.99
39,16,2023,2,480.65,15.28
40,17,821,1,1343.46,39.66
41,18,2400,2,1112.18,32.99
42,19,1834,1,748.13,19.56
43,20,1489,1,1323.44,13.83
44,20,648,1,1670.61,34.28
45,20,876,1,2227.35,30.18
46,21,1621,1,2830.48,16.77
47,21,19,2,2187.93,17.22
48,22,1620,1,2062.41,35.89
49,23,2042,1,525.85,23.97
50,23,1256,2,2152.39,13.1
51,23,1138,1,1813.38,36.11
52,23,987,2,2280.02,5.26
53,23,1191,1,643.26,12.57
54,24,1855,1,2367.54,5.26
55,25,2231,1,1478.31,30.27
56,25,932,1,1099.7,27.06
57,25,1956,1,2160.59,15.13
58,25,85,2,3776.89,22.31
59,26,52,1,2011.53,38.95
60,26,2278,2,2804.22,39.91
61,27,1633,1,1471.38,26.42
62,27,89,1,2658.83,27.43
63,27,1709,1,2132.93,37.04
64,28,2221,1,1478.32,19.76
65,29,1477,1,528.22,19.88
66,29,1991,1,872.13,22.53
67,29,626,2,317.81,13.49
68,30,1321,1,2167.28,32.79
69,30,1568,3,805.99,30.93
70,31,1194,1,162.52,33.64
71,32,2303,1,481.76,26.77
72,33,1820,1,2460.17,12.14
73,33,1265,2,657.07,15.84
74,34,1365,1,1130.44,30.51
75,35,1241,1,2016.0,24.74
76,35,2332,1,1047.2,8.15
77,35,1184,1,1987.83,24.71
78,36,759,1,314.18,14.69
79,36,787,1,598.95,27.08
80,36,2099,3,2193.65,33.17
81,36,1430,1,373.21,39.33
82,36,168,2,2716.66,35.2
83,37,725,1,1619.66,18.52
84,37,488,2,1996.64,10.81
85,37,212,1,1709.68,28.87
86,38,2070,1,2584.75,12.47
87,39,1336,2,137.07,32.62
88,40,443,1,711.19,36.39
89,40,1065,1,1430.34,10.83
90,40,241,1,1784.8,13.38
91,41,1552,1,3586.02,5.43
92,42,172,2,242.82,23.71
93,42,224,1,530.53,37.31
94,43,666,1,1892.75,27.16
95,43,751,1,1348.98,12.56
96,44,449,1,1212.72,7.75
97,45,367,1,993.81,25.3
98,46,1978,1,933.7,34.64
99,47,1807,1,637.72,8.66
100,47,689,1,471.01,17.26
101,48,161,1,4063.3,8.84
102,48,2063,1,2676.08,6.55
103,48,1106,1,2002.17,33.61
104,49,2280,2,1334.42,39.67
105,49,1454,1,316.91,17.56
106,49,2314,1,500.19,39.9
107,50,624,2,269.44,33.75
108,50,2139,1,2510.59,9.07
109,50,155,1,1445.47,29.3
110,51,1986,1,619.47,35.33
111,52,593,1,2245.15,34.73
112,52,2091,1,955.96,18.87
113,53,1815,1,1457.52,31.79
114,53,1770,1,2182.28,5.92
115,54,1294,1,2769.91,8.52
116,54,2295,1,1257.13,21.23
117,54,578,1,1623.29,35.19
118,55,1916,1,2211.57,35.46
119,55,786,1,2674.93,27.23
120,56,2361,1,581.67,30.68
121,56,2124,1,2168.43,23.84
122,56,180,1,2304.71,5.85
123,57,748,1,2866.5,23.25
124,58,195,1,2966.53,28.28
125,58,2480,1,2731.9,5.21
126,59,2192,1,571.16,9.01
127,60,2150,1,274.86,39.0
128,61,2349,1,2602.42,9.65
129,62,1661,1,2193.16,28.95
130,62,97,1,1220.35,26.73
131,63,1439,2,1662.03,22.08
132,64,350,1,568.68,19.18
133,64,190,1,1019.76,7.92
134,65,506,1,2099.97,23.08
135,65,1587,1,783.57,29.83
136,66,1574,1,1950.34,31.31
137,67,1322,1,806.02,15.6
138,68,647,1,1746.02,19.81
139,69,2003,2,578.98,24.15
140,70,1837,2,1679.18,22.88
141,70,30,1,1095.37,12.62
142,71,653,2,3254.66,12.21
143,71,833,1,1847.86,12.65
144,72,1749,1,98.49,37.01
145,73,1271,1,2210.55,7.97
146,74,1039,1,1528.6,14.96
147,74,1737,1,1379.65,22.74
148,75,2489,1,485.31,30.02
149,75,2223,1,1480.69,30.46
150,75,1342,2,858.01,31.77
151,76,827,1,433.83,26.09
152,76,572,1,2447.06,9.38
153,77,2014,1,2426.97,25.25
154,78,1568,1,709.67,39.19
155,79,1310,1,2303.69,6.18
156,80,2058,1,666.78,12.78
157,81,830,1,1074.4,34.13
158,82,2099,1,2088.32,36.38
159,83,1771,1,1820.05,35.09
160,84,353,2,3167.61,7.28
161,84,441,1,1340.89,26.93
162,85,1896,1,154.0,34.76
163,85,928,1,3041.65,22.18
164,86,719,1,804.66,8.86
165,87,922,1,1565.29,21.23
166,88,173,1,2520.97,32.35
