product_id,supplier_id,product_name,category,subcategory,cost_price,mrp,commission_percent
1,63,Womens Ethnic_0001,Fashion,Womens Ethnic,1386.56,2191.86,15.32
2,119,Kurtis_0002,Fashion,Kurtis,404.26,814.92,9.64
3,111,Sarees_0003,Fashion,Sarees,1296.54,2080.98,12.91
4,110,T-Shirts_0004,Fashion,T-Shirts,1266.8,2048.49,12.78
5,17,T-Shirts_0005,Fashion,T-Shirts,508.11,866.93,16.55
6,118,Kurtis_0006,Fashion,Kurtis,455.22,800.54,7.28
7,81,T-Shirts_0007,Fashion,T-Shirts,1739.01,3444.09,16.94
8,91,Kurtis_0008,Fashion,Kurtis,845.83,1290.45,21.91
9,77,Kurtis_0009,Fashion,Kurtis,427.8,915.9,23.37
10,31,Kurtis_0010,Fashion,Kurtis,261.03,403.9,9.77
11,131,Womens Ethnic_0011,Fashion,Womens Ethnic,447.78,968.45,12.77
12,48,Kurtis_0012,Fashion,Kurtis,361.95,659.5,14.73
13,45,Kurtis_0013,Fashion,Kurtis,1417.52,2990.66,16.1
14,116,Sarees_0014,Fashion,Sarees,648.79,1041.83,17.39
15,50,Kids Wear_0015,Fashion,Kids Wear,1908.5,3689.26,21.3
16,126,Kurtis_0016,Fashion,Kurtis,1060.33,2061.78,13.31
17,8,Sarees_0017,Fashion,Sarees,1028.53,1533.47,20.92
18,138,Mens Casual_0018,Fashion,Mens Casual,654.97,1114.98,10.77
19,127,Sarees_0019,Fashion,Sarees,1174.74,2642.93,15.99
20,140,Womens Ethnic_0020,Fashion,Womens Ethnic,1188.16,2013.55,21.47
21,113,Kids Wear_0021,Fashion,Kids Wear,1129.88,2522.42,15.93
22,64,Sarees_0022,Fashion,Sarees,294.59,681.41,10.95
23,23,Womens Ethnic_0023,Fashion,Womens Ethnic,954.49,1702.27,13.78
24,90,Womens Ethnic_0024,Fashion,Womens Ethnic,1573.7,2613.35,22.22
25,36,Kurtis_0025,Fashion,Kurtis,1302.26,2060.93,20.7
26,137,Mens Casual_0026,Fashion,Mens Casual,1630.34,3304.83,10.62
27,75,Kurtis_0027,Fashion,Kurtis,419.92,1040.1,10.79
28,25,Kids Wear_0028,Fashion,Kids Wear,1909.55,3753.9,7.71
29,33,Sarees_0029,Fashion,Sarees,1845.66,4598.9,19.03
30,64,Mens Casual_0030,Fashion,Mens Casual,574.39,1253.63,20.23
31,69,T-Shirts_0031,Fashion,T-Shirts,846.13,1316.91,17.56
32,24,Sarees_0032,Fashion,Sarees,958.78,2010.55,13.06
33,95,T-Shirts_0033,Fashion,T-Shirts,628.63,1527.55,14.09
34,24,Sarees_0034,Fashion,Sarees,721.85,1012.55,19.62
35,17,Sarees_0035,Fashion,Sarees,1306.2,2830.56,20.91
36,55,Sarees_0036,Fashion,Sarees,513.88,962.3,14.89
37,148,Kids Wear_0037,Fashion,Kids Wear,1673.85,2965.28,7.61
38,13,Sarees_0038,Fashion,Sarees,1597.78,3808.42,5.92
39,32,T-Shirts_0039,Fashion,T-Shirts,1589.39,3028.65,23.59
40,110,Mens Casual_0040,Fashion,Mens Casual,938.44,1314.51,9.05
41,78,T-Shirts_0041,Fashion,T-Shirts,1827.87,4332.71,8.18
42,22,Kids Wear_0042,Fashion,Kids Wear,277.35,498.25,12.44
43,79,T-Shirts_0043,Fashion,T-Shirts,414.5,761.01,19.52
44,25,Mens Casual_0044,Fashion,Mens Casual,915.54,1373.6,5.02
45,133,Sarees_0045,Fashion,Sarees,248.08,509.32,18.6
46,31,Womens Ethnic_0046,Fashion,Womens Ethnic,115.32,205.03,24.76
47,59,Sarees_0047,Fashion,Sarees,1418.66,2731.59,12.66
48,95,T-Shirts_0048,Fashion,T-Shirts,1631.32,2469.04,22.62
49,35,Mens Casual_0049,Fashion,Mens Casual,827.17,1898.11,17.83
50,3,T-Shirts_0050,Fashion,T-Shirts,371.42,736.73,17.21
51,39,Mens Casual_0051,Fashion,Mens Casual,936.19,2054.63,23.4
52,23,Kurtis_0052,Fashion,Kurtis,1404.48,3294.85,22.93
53,99,Mens Casual_0053,Fashion,Mens Casual,1529.65,3133.54,12.03
54,71,Sarees_0054,Fashion,Sarees,697.56,1083.88,17.89
55,73,Mens Casual_0055,Fashion,Mens Casual,1151.45,2372.0,20.58
56,78,T-Shirts_0056,Fashion,T-Shirts,150.97,352.03,9.11
57,76,Kurtis_0057,Fashion,Kurtis,1068.09,2373.97,17.92
58,128,Mens Casual_0058,Fashion,Mens Casual,1040.29,1585.42,17.76
59,93,Womens Ethnic_0059,Fashion,Womens Ethnic,1103.74,2732.27,23.68
60,108,Mens Casual_0060,Fashion,Mens Casual,834.99,1939.57,12.31
61,19,T-Shirts_0061,Fashion,T-Shirts,428.26,821.45,5.33
62,16,Womens Ethnic_0062,Fashion,Womens Ethnic,126.21,206.65,23.97
63,129,Sarees_0063,Fashion,Sarees,1062.56,2222.27,20.34
64,138,Sarees_0064,Fashion,Sarees,1433.44,2136.79,15.75
65,131,Mens Casual_0065,Fashion,Mens Casual,627.19,1091.87,23.42
66,17,Mens Casual_0066,Fashion,Mens Casual,1119.14,2047.81,11.2
67,15,Sarees_0067,Fashion,Sarees,1486.92,3466.18,9.89
68,15,Sarees_0068,Fashion,Sarees,320.37,664.3,11.19
69,4,T-Shirts_0069,Fashion,T-Shirts,1350.3,2151.31,19.16
70,89,T-Shirts_0070,Fashion,T-Shirts,121.57,236.58,15.46
71,69,T-Shirts_0071,Fashion,T-Shirts,592.57,1071.99,19.66
72,110,Womens Ethnic_0072,Fashion,Womens Ethnic,1565.72,2242.57,10.44
73,20,Womens Ethnic_0073,Fashion,Womens Ethnic,599.6,1482.54,14.92
74,146,Kurtis_0074,Fashion,Kurtis,784.24,1528.93,8.34
75,147,Mens Casual_0075,Fashion,Mens Casual,584.72,884.8,18.48
76,12,Womens Ethnic_0076,Fashion,Womens Ethnic,533.97,1046.42,22.17
77,99,Womens Ethnic_0077,Fashion,Womens Ethnic,564.65,1083.53,23.4
78,142,Mens Casual_0078,Fashion,Mens Casual,1869.2,4379.97,21.06
79,83,T-Shirts_0079,Fashion,T-Shirts,1507.27,2805.49,9.97
80,147,T-Shirts_0080,Fashion,T-Shirts,707.88,1634.21,12.46
81,58,Kurtis_0081,Fashion,Kurtis,1379.32,2010.96,21.09
82,120,Womens Ethnic_0082,Fashion,Womens Ethnic,1912.75,2822.87,22.32
83,3,Kids Wear_0083,Fashion,Kids Wear,721.87,1449.8,12.38
84,63,Kids Wear_0084,Fashion,Kids Wear,1171.23,2031.26,14.28
85,51,Kurtis_0085,Fashion,Kurtis,1946.53,4861.59,19.65
86,2,Kurtis_0086,Fashion,Kurtis,1544.92,2579.46,23.65
87,3,Womens Ethnic_0087,Fashion,Womens Ethnic,542.7,966.58,24.02
88,79,Womens Ethnic_0088,Fashion,Womens Ethnic,1541.97,2796.98,7.08
89,16,Kurtis_0089,Fashion,Kurtis,1967.92,3663.87,24.45
90,60,Mens Casual_0090,Fashion,Mens Casual,1452.14,2181.59,22.95
91,118,Kurtis_0091,Fashion,Kurtis,884.81,2110.39,24.49
92,101,Womens Ethnic_0092,Fashion,Womens Ethnic,1203.46,2353.93,6.5
93,34,Kurtis_0093,Fashion,Kurtis,218.34,464.78,9.74
94,101,Kids Wear_0094,Fashion,Kids Wear,1716.74,4152.19,19.01
95,60,T-Shirts_0095,Fashion,T-Shirts,719.88,1366.36,6.49
96,28,Mens Casual_0096,Fashion,Mens Casual,358.61,805.85,8.11
97,31,Mens Casual_0097,Fashion,Mens Casual,954.18,1665.46,15.72
98,31,Mens Casual_0098,Fashion,Mens Casual,958.64,1830.7,6.81
99,11,T-Shirts_0099,Fashion,T-Shirts,678.01,1474.79,9.3
100,92,Kids Wear_0100,Fashion,Kids Wear,381.82,833.24,12.92
101,45,Womens Ethnic_0101,Fashion,Womens Ethnic,1386.65,2338.15,5.62
102,141,Sarees_0102,Fashion,Sarees,1723.74,3467.39,10.0
103,32,Sarees_0103,Fashion,Sarees,293.62,667.45,5.24
104,96,Mens Casual_0104,Fashion,Mens Casual,348.36,803.33,18.73
105,20,T-Shirts_0105,Fashion,T-Shirts,259.67,530.96,5.44
106,33,Womens Ethnic_0106,Fashion,Womens Ethnic,475.73,1004.07,6.84
107,13,Kids Wear_0107,Fashion,Kids Wear,332.8,810.87,8.36
108,128,Kurtis_0108,Fashion,Kurtis,923.0,2027.71,5.59
109,48,T-Shirts_0109,Fashion,T-Shirts,910.66,1629.48,10.5
110,63,Sarees_0110,Fashion,Sarees,1778.51,2557.7,17.95
111,16,Sarees_0111,Fashion,Sarees,882.79,1770.66,6.75
112,135,Sarees_0112,Fashion,Sarees,360.75,584.2,9.98
113,92,Kurtis_0113,Fashion,Kurtis,1610.21,4006.76,14.59
114,83,Sarees_0114,Fashion,Sarees,753.66,1524.06,12.77
115,8,Mens Casual_0115,Fashion,Mens Casual,149.52,307.54,22.92
116,136,Kids Wear_0116,Fashion,Kids Wear,211.32,526.33,12.15
117,26,Kurtis_0117,Fashion,Kurtis,1999.25,4940.9,9.96
118,15,Mens Casual_0118,Fashion,Mens Casual,606.4,1393.45,20.28
119,100,Mens Casual_0119,Fashion,Mens Casual,1193.82,2961.79,12.1
120,92,Mens Casual_0120,Fashion,Mens Casual,434.59,891.68,23.28
121,146,Womens Ethnic_0121,Fashion,Womens Ethnic,1436.56,2566.92,16.27
122,127,Kurtis_0122,Fashion,Kurtis,1901.9,4413.11,15.84
123,60,Mens Casual_0123,Fashion,Mens Casual,1031.83,1547.01,17.03
124,52,Womens Ethnic_0124,Fashion,Womens Ethnic,1100.25,1541.18,21.13
125,83,Kids Wear_0125,Fashion,Kids Wear,1462.18,3524.82,6.19
126,29,Mens Casual_0126,Fashion,Mens Casual,1214.56,2925.81,21.93
127,102,Kids Wear_0127,Fashion,Kids Wear,1925.06,3486.19,16.72
128,41,Kids Wear_0128,Fashion,Kids Wear,673.35,1043.76,19.65
129,82,Sarees_0129,Fashion,Sarees,1604.5,3941.82,8.48
130,92,Kurtis_0130,Fashion,Kurtis,1417.76,3433.43,9.46
131,76,Kurtis_0131,Fashion,Kurtis,1647.46,2992.15,7.55
132,147,T-Shirts_0132,Fashion,T-Shirts,103.42,224.65,12.83
133,57,Kurtis_0133,Fashion,Kurtis,161.53,333.18,17.79
134,20,Womens Ethnic_0134,Fashion,Womens Ethnic,1879.71,2922.4,9.76
135,23,Kids Wear_0135,Fashion,Kids Wear,418.99,994.62,21.43
136,115,T-Shirts_0136,Fashion,T-Shirts,1314.3,3121.88,5.23
137,66,Mens Casual_0137,Fashion,Mens Casual,574.13,846.6,20.74
138,108,T-Shirts_0138,Fashion,T-Shirts,102.43,186.89,24.38
139,140,Sarees_0139,Fashion,Sarees,1036.86,1883.54,12.51
140,58,Sarees_0140,Fashion,Sarees,1598.59,3254.51,8.25
141,6,Womens Ethnic_0141,Fashion,Womens Ethnic,1618.47,2325.34,11.37
142,97,Womens Ethnic_0142,Fashion,Womens Ethnic,240.98,382.46,8.22
143,24,Womens Ethnic_0143,Fashion,Womens Ethnic,1139.39,2720.79,11.76
144,111,Kurtis_0144,Fashion,Kurtis,1797.13,3908.68,23.85
145,14,Mens Casual_0145,Fashion,Mens Casual,1253.9,2354.35,7.03
146,142,Mens Casual_0146,Fashion,Mens Casual,1951.36,3610.42,19.44
147,77,T-Shirts_0147,Fashion,T-Shirts,1126.24,2395.13,9.75
148,126,Womens Ethnic_0148,Fashion,Womens Ethnic,846.51,1696.94,8.07
149,123,Kids Wear_0149,Fashion,Kids Wear,107.25,160.49,8.99
150,21,Womens Ethnic_0150,Fashion,Womens Ethnic,493.21,1036.73,14.47
151,126,Womens Ethnic_0151,Fashion,Womens Ethnic,685.87,1260.09,22.9
152,48,Kids Wear_0152,Fashion,Kids Wear,273.16,545.92,12.42
153,68,Sarees_0153,Fashion,Sarees,801.86,1515.8,13.79
154,16,Kids Wear_0154,Fashion,Kids Wear,529.86,898.33,8.02
155,89,T-Shirts_0155,Fashion,T-Shirts,1368.19,2044.46,21.16
156,142,Sarees_0156,Fashion,Sarees,1944.34,3983.37,6.22
157,138,Sarees_0157,Fashion,Sarees,1654.97,3079.06,18.74
158,77,Sarees_0158,Fashion,Sarees,1188.16,1971.4,6.58
159,133,T-Shirts_0159,Fashion,T-Shirts,165.98,336.66,21.01
160,115,T-Shirts_0160,Fashion,T-Shirts,1967.23,3073.19,8.46
161,33,Mens Casual_0161,Fashion,Mens Casual,1947.11,4457.53,5.85
162,38,Womens Ethnic_0162,Fashion,Womens Ethnic,1977.73,3716.02,21.68
163,18,Kids Wear_0163,Fashion,Kids Wear,707.52,1556.41,6.74
164,71,Kurtis_0164,Fashion,Kurtis,854.97,1503.67,15.39
165,134,Womens Ethnic_0165,Fashion,Womens Ethnic,1594.45,3325.01,20.63
166,150,Womens Ethnic_0166,Fashion,Womens Ethnic,887.44,1387.09,20.17
167,26,Womens Ethnic_0167,Fashion,Womens Ethnic,1857.36,3749.92,20.71
168,68,Kurtis_0168,Fashion,Kurtis,1772.26,4192.61,12.66
169,45,Sarees_0169,Fashion,Sarees,1186.84,2279.15,10.51
170,103,Mens Casual_0170,Fashion,Mens Casual,1274.66,2739.11,5.78
171,122,Kids Wear_0171,Fashion,Kids Wear,1411.98,2053.33,23.42
172,78,Kids Wear_0172,Fashion,Kids Wear,138.44,318.29,11.22
173,59,Sarees_0173,Fashion,Sarees,1730.65,3726.67,7.69
174,69,T-Shirts_0174,Fashion,T-Shirts,941.91,2174.31,19.58
175,55,Kurtis_0175,Fashion,Kurtis,1326.55,2131.41,23.27
176,96,Sarees_0176,Fashion,Sarees,1507.8,3370.6,21.42
177,130,Kurtis_0177,Fashion,Kurtis,1603.83,2361.12,13.07
178,50,Kurtis_0178,Fashion,Kurtis,1770.73,2535.41,22.5
179,117,Mens Casual_0179,Fashion,Mens Casual,1690.26,2830.24,6.01
180,119,Kids Wear_0180,Fashion,Kids Wear,1438.8,2447.94,15.1
181,62,T-Shirts_0181,Fashion,T-Shirts,1853.84,3984.44,12.45
182,122,Kurtis_0182,Fashion,Kurtis,947.6,2327.85,16.74
183,67,Kids Wear_0183,Fashion,Kids Wear,754.07,1750.51,19.98
184,13,T-Shirts_0184,Fashion,T-Shirts,271.74,388.64,8.26
185,57,Kurtis_0185,Fashion,Kurtis,1581.68,2587.23,17.95
186,132,T-Shirts_0186,Fashion,T-Shirts,492.79,1043.11,5.4
187,45,T-Shirts_0187,Fashion,T-Shirts,116.91,280.9,17.02
188,79,Womens Ethnic_0188,Fashion,Womens Ethnic,525.16,1086.65,19.25
189,97,T-Shirts_0189,Fashion,T-Shirts,1321.21,2465.63,22.03
190,134,Sarees_0190,Fashion,Sarees,578.8,1107.46,21.49
191,96,Sarees_0191,Fashion,Sarees,1210.53,1704.53,16.23
192,28,Kurtis_0192,Fashion,Kurtis,1257.2,2172.85,14.63
193,71,Kids Wear_0193,Fashion,Kids Wear,1977.89,4162.77,10.22
194,49,T-Shirts_0194,Fashion,T-Shirts,1909.16,4040.95,8.0
195,104,Mens Casual_0195,Fashion,Mens Casual,1809.41,4136.26,18.21
196,128,T-Shirts_0196,Fashion,T-Shirts,365.87,522.46,24.95
197,10,Kids Wear_0197,Fashion,Kids Wear,1823.13,3363.78,16.66
