activity_id,reseller_id,activity_date,products_shared,catalog_views,orders_generated
1,1,2022-06-01 12:00:00,21,89,15
2,1,2022-07-01 12:00:00,27,90,17
3,1,2022-07-31 12:00:00,116,342,4
4,1,2022-08-30 12:00:00,59,149,3
5,1,2022-09-29 12:00:00,137,160,20
6,1,2022-10-29 12:00:00,41,74,4
7,1,2022-11-28 12:00:00,134,498,2
8,1,2022-12-28 12:00:00,28,376,9
9,1,2023-01-27 12:00:00,72,450,9
10,1,2023-02-26 12:00:00,123,363,7
11,1,2023-03-28 12:00:00,110,192,2
12,1,2023-04-27 12:00:00,23,331,19
13,1,2023-05-27 12:00:00,78,287,3
14,1,2023-06-26 12:00:00,22,164,5
15,1,2023-07-26 12:00:00,129,104,19
16,1,2023-08-25 12:00:00,115,473,18
17,1,2023-09-24 12:00:00,42,490,10
18,1,2023-10-24 12:00:00,78,261,13
19,1,2023-11-23 12:00:00,128,226,13
20,1,2023-12-23 12:00:00,130,206,4
21,1,2024-01-22 12:00:00,69,193,19
22,1,2024-02-21 12:00:00,29,343,10
23,1,2024-03-22 12:00:00,88,345,17
24,1,2024-04-21 12:00:00,34,276,5
25,1,2024-05-21 12:00:00,150,79,12
26,1,2024-06-20 12:00:00,46,457,16
27,2,2022-06-02 00:00:00,77,274,5
28,2,2022-07-02 00:00:00,44,382,19
29,2,2022-08-01 00:00:00,60,120,4
30,2,2022-08-31 00:00:00,145,349,13
31,2,2022-09-30 00:00:00,122,241,6
32,2,2022-10-30 00:00:00,106,304,8
33,2,2022-11-29 00:00:00,98,322,8
34,2,2022-12-29 00:00:00,32,401,3
35,2,2023-01-28 00:00:00,52,431,6
36,2,2023-02-27 00:00:00,147,384,7
37,2,2023-03-29 00:00:00,92,406,20
38,2,2023-04-28 00:00:00,98,294,15
39,2,2023-05-28 00:00:00,119,333,10
40,2,2023-06-27 00:00:00,89,185,17
41,2,2023-07-27 00:00:00,129,113,3
42,2,2023-08-26 00:00:00,84,213,7
43,2,2023-09-25 00:00:00,33,477,2
44,2,2023-10-25 00:00:00,77,329,9
45,2,2023-11-24 00:00:00,120,280,6
46,2,2023-12-24 00:00:00,51,411,13
47,2,2024-01-23 00:00:00,128,133,18
48,2,2024-02-22 00:00:00,52,149,6
49,2,2024-03-23 00:00:00,32,309,19
50,2,2024-04-22 00:00:00,143,474,16
51,2,2024-05-22 00:00:00,40,250,2
52,2,2024-06-21 00:00:00,59,291,9
53,3,2022-06-02 12:00:00,143,436,3
54,3,2022-07-02 12:00:00,147,295,11
55,3,2022-08-01 12:00:00,84,270,16
56,3,2022-08-31 12:00:00,99,448,14
57,3,2022-09-30 12:00:00,104,157,9
58,3,2022-10-30 12:00:00,130,181,16
59,3,2022-11-29 12:00:00,133,190,2
60,3,2022-12-29 12:00:00,48,396,4
61,3,2023-01-28 12:00:00,96,345,3
62,3,2023-02-27 12:00:00,131,161,3
63,3,2023-03-29 12:00:00,77,412,3
64,3,2023-04-28 12:00:00,52,113,11
65,3,2023-05-28 12:00:00,28,347,15
66,3,2023-06-27 12:00:00,126,187,4
67,3,2023-07-27 12:00:00,87,160,11
68,3,2023-08-26 12:00:00,62,394,4
69,3,2023-09-25 12:00:00,38,379,10
70,3,2023-10-25 12:00:00,54,161,2
71,3,2023-11-24 12:00:00,136,436,17
72,3,2023-12-24 12:00:00,125,445,5
73,3,2024-01-23 12:00:00,125,169,5
74,3,2024-02-22 12:00:00,37,474,12
75,3,2024-03-23 12:00:00,103,85,8
76,3,2024-04-22 12:00:00,118,351,9
77,3,2024-05-22 12:00:00,82,258,8
78,3,2024-06-21 12:00:00,67,438,3
79,4,2022-06-03 00:00:00,74,500,12
80,4,2022-07-03 00:00:00,142,473,7
81,4,2022-08-02 00:00:00,38,156,7
82,4,2022-09-01 00:00:00,90,413,16
83,4,2022-10-01 00:00:00,47,431,10
84,4,2022-10-31 00:00:00,97,409,19
85,4,2022-11-30 00:00:00,137,327,10
86,4,2022-12-30 00:00:00,107,364,19
87,4,2023-01-29 00:00:00,42,320,9
88,4,2023-02-28 00:00:00,61,432,7
89,4,2023-03-30 00:00:00,25,495,12
90,4,2023-04-29 00:00:00,148,128,18
91,4,2023-05-29 00:00:00,125,346,12
92,4,2023-06-28 00:00:00,60,183,7
93,4,2023-07-28 00:00:00,136,224,6
94,4,2023-08-27 00:00:00,84,320,3
95,4,2023-09-26 00:00:00,111,430,8
96,4,2023-10-26 00:00:00,115,58,19
97,4,2023-11-25 00:00:00,49,253,6
98,4,2023-12-25 00:00:00,96,393,6
99,4,2024-01-24 00:00:00,94,317,6
100,4,2024-02-23 00:00:00,128,226,7
101,4,2024-03-24 00:00:00,30,295,2
102,4,2024-04-23 00:00:00,47,481,6
103,4,2024-05-23 00:00:00,107,453,12
104,4,2024-06-22 00:00:00,23,317,19
105,5,2022-06-03 12:00:00,57,100,8
106,5,2022-07-03 12:00:00,69,80,10
107,5,2022-08-02 12:00:00,124,500,16
108,5,2022-09-01 12:00:00,128,222,3
109,5,2022-10-01 12:00:00,85,120,18
110,5,2022-10-31 12:00:00,144,440,15
111,5,2022-11-30 12:00:00,31,455,10
112,5,2022-12-30 12:00:00,89,160,9
113,5,2023-01-29 12:00:00,103,146,19
114,5,2023-02-28 12:00:00,48,280,11
115,5,2023-03-30 12:00:00,94,377,20
116,5,2023-04-29 12:00:00,21,81,6
117,5,2023-05-29 12:00:00,143,258,13
118,5,2023-06-28 12:00:00,76,362,5
119,5,2023-07-28 12:00:00,33,203,17
120,5,2023-08-27 12:00:00,124,294,9
121,5,2023-09-26 12:00:00,142,252,3
122,5,2023-10-26 12:00:00,86,311,5
123,5,2023-11-25 12:00:00,85,354,9
124,5,2023-12-25 12:00:00,39,439,11
125,5,2024-01-24 12:00:00,115,212,10
126,5,2024-02-23 12:00:00,124,89,6
127,5,2024-03-24 12:00:00,143,105,20
128,5,2024-04-23 12:00:00,49,153,2
129,5,2024-05-23 12:00:00,125,389,16
130,5,2024-06-22 12:00:00,121,440,14
131,6,2022-06-04 00:00:00,50,435,9
132,6,2022-07-04 00:00:00,71,79,19
133,6,2022-08-03 00:00:00,33,458,10
134,6,2022-09-02 00:00:00,47,346,3
135,6,2022-10-02 00:00:00,86,281,17
136,6,2022-11-01 00:00:00,101,231,16
137,6,2022-12-01 00:00:00,34,286,6
138,6,2022-12-31 00:00:00,77,330,15
139,6,2023-01-30 00:00:00,55,472,8
140,6,2023-03-01 00:00:00,39,224,6
141,6,2023-03-31 00:00:00,79,138,13
142,6,2023-04-30 00:00:00,82,146,11
143,6,2023-05-30 00:00:00,145,463,4
144,6,2023-06-29 00:00:00,81,339,18
145,6,2023-07-29 00:00:00,80,377,6
146,6,2023-08-28 00:00:00,67,239,11
147,6,2023-09-27 00:00:00,121,116,11
148,6,2023-10-27 00:00:00,126,108,17
149,6,2023-11-26 00:00:00,150,416,13
150,6,2023-12-26 00:00:00,61,335,14
151,6,2024-01-25 00:00:00,90,59,19
152,6,2024-02-24 00:00:00,133,366,13
153,6,2024-03-25 00:00:00,122,411,9
154,6,2024-04-24 00:00:00,80,279,19
155,6,2024-05-24 00:00:00,123,157,5
156,6,2024-06-23 00:00:00,29,125,5
157,7,2022-06-04 12:00:00,0,8,0
158,7,2022-07-04 12:00:00,0,1,0
159,7,2022-08-03 12:00:00,0,5,0
160,7,2022-09-02 12:00:00,0,0,0
161,7,2022-10-02 12:00:00,0,0,0
162,7,2022-11-01 12:00:00,0,5,0
163,7,2022-12-01 12:00:00,0,0,0
164,7,2022-12-31 12:00:00,0,9,0
165,7,2023-01-30 12:00:00,0,6,0
166,7,2023-03-01 12:00:00,0,4,0
167,7,2023-03-31 12:00:00,0,4,0
168,7,2023-04-30 12:00:00,0,9,0
169,7,2023-05-30 12:00:00,0,0,0
170,7,2023-06-29 12:00:00,0,4,0
171,7,2023-07-29 12:00:00,0,4,0
172,7,2023-08-28 12:00:00,0,1,0
173,7,2023-09-27 12:00:00,0,6,0
174,7,2023-10-27 12:00:00,0,8,0
175,7,2023-11-26 12:00:00,0,9,0
176,7,2023-12-26 12:00:00,0,4,0
177,7,2024-01-25 12:00:00,0,9,0
178,7,2024-02-24 12:00:00,0,2,0
179,7,2024-03-25 12:00:00,0,6,0
180,7,2024-04-24 12:00:00,0,10,0
181,7,2024-05-24 12:00:00,0,4,0
182,7,2024-06-23 12:00:00,0,9,0
183,8,2022-06-05 00:00:00,8,58,1
184,8,2022-07-05 00:00:00,30,56,2
185,8,2022-08-04 00:00:00,6,93,1
186,8,2022-09-03 00:00:00,29,44,4
187,8,2022-10-03 00:00:00,5,99,0
188,8,2022-11-02 00:00:00,13,61,0
189,8,2022-12-02 00:00:00,4,97,0
190,8,2023-01-01 00:00:00,1,56,3
191,8,2023-01-31 00:00:00,9,15,2
192,8,2023-03-02 00:00:00,27,6,0
193,8,2023-04-01 00:00:00,30,30,4
194,8,2023-05-01 00:00:00,12,47,4
195,8,2023-05-31 00:00:00,19,15,0
196,8,2023-06-30 00:00:00,5,66,3
197,8,2023-07-30 00:00:00,27,69,4
198,8,2023-08-29 00:00:00,4,79,1
199,8,2023-09-28 00:00:00,5,53,2
200,8,2023-10-28 00:00:00,27,32,3
201,8,2023-11-27 00:00:00,21,94,1
202,8,2023-12-27 00:00:00,17,26,5
203,8,2024-01-26 00:00:00,11,68,3
204,8,2024-02-25 00:00:00,17,75,3
205,8,2024-03-26 00:00:00,16,19,2
206,8,2024-04-25 00:00:00,20,6,1
207,8,2024-05-25 00:00:00,20,93,5
208,8,2024-06-24 00:00:00,10,71,3
209,9,2022-06-05 12:00:00,34,53,17
210,9,2022-07-05 12:00:00,137,142,19
211,9,2022-08-04 12:00:00,30,349,9
212,9,2022-09-03 12:00:00,59,242,5
213,9,2022-10-03 12:00:00,60,468,7
214,9,2022-11-02 12:00:00,119,66,20
215,9,2022-12-02 12:00:00,123,368,11
216,9,2023-01-01 12:00:00,94,166,2
217,9,2023-01-31 12:00:00,68,393,11
218,9,2023-03-02 12:00:00,79,198,8
219,9,2023-04-01 12:00:00,82,459,17
220,9,2023-05-01 12:00:00,115,477,9
221,9,2023-05-31 12:00:00,90,236,6
222,9,2023-06-30 12:00:00,131,73,2
223,9,2023-07-30 12:00:00,90,461,3
224,9,2023-08-29 12:00:00,23,123,11
225,9,2023-09-28 12:00:00,79,169,7
226,9,2023-10-28 12:00:00,38,79,6
227,9,2023-11-27 12:00:00,59,426,19
228,9,2023-12-27 12:00:00,130,124,20
229,9,2024-01-26 12:00:00,26,439,16
230,9,2024-02-25 12:00:00,90,479,20
231,9,2024-03-26 12:00:00,147,453,10
232,9,2024-04-25 12:00:00,33,314,6
233,9,2024-05-25 12:00:00,105,211,8
234,9,2024-06-24 12:00:00,118,224,19
235,10,2022-06-06 00:00:00,0,0,0
236,10,2022-07-06 00:00:00,0,7,0
237,10,2022-08-05 00:00:00,0,4,0
238,10,2022-09-04 00:00:00,0,3,0
239,10,2022-10-04 00:00:00,0,1,0
240,10,2022-11-03 00:00:00,0,10,0
241,10,2022-12-03 00:00:00,0,9,0
242,10,2023-01-02 00:00:00,0,6,0
243,10,2023-02-01 00:00:00,0,6,0
244,10,2023-03-03 00:00:00,0,7,0
245,10,2023-04-02 00:00:00,0,6,0
246,10,2023-05-02 00:00:00,0,8,0
247,10,2023-06-01 00:00:00,0,0,0
248,10,2023-07-01 00:00:00,0,4,0
249,10,2023-07-31 00:00:00,0,10,0
250,10,2023-08-30 00:00:00,0,4,0
251,10,2023-09-29 00:00:00,0,3,0
252,10,2023-10-29 00:00:00,0,4,0
253,10,2023-11-28 00:00:00,0,9,0
254,10,2023-12-28 00:00:00,0,1,0
255,10,2024-01-27 00:00:00,0,9,0
256,10,2024-02-26 00:00:00,0,10,0
257,10,2024-03-27 00:00:00,0,5,0
258,10,2024-04-26 00:00:00,0,5,0
259,10,2024-05-26 00:00:00,0,7,0
260,10,2024-06-25 00:00:00,0,1,0
261,11,2022-06-06 12:00:00,29,17,4
262,11,2022-07-06 12:00:00,11,56,1
263,11,2022-08-05 12:00:00,2,82,4
264,11,2022-09-04 12:00:00,28,11,1
265,11,2022-10-04 12:00:00,11,46,5
266,11,2022-11-03 12:00:00,0,35,3
267,11,2022-12-03 12:00:00,9,100,2
268,11,2023-01-02 12:00:00,8,96,4
269,11,2023-02-01 12:00:00,20,90,5
270,11,2023-03-03 12:00:00,26,75,2
271,11,2023-04-02 12:00:00,9,63,0
272,11,2023-05-02 12:00:00,28,36,5
273,11,2023-06-01 12:00:00,16,61,2
274,11,2023-07-01 12:00:00,25,57,0
275,11,2023-07-31 12:00:00,28,98,5
276,11,2023-08-30 12:00:00,8,24,4
277,11,2023-09-29 12:00:00,22,23,2
278,11,2023-10-29 12:00:00,29,41,0
279,11,2023-11-28 12:00:00,2,47,4
280,11,2023-12-28 12:00:00,15,17,0
281,11,2024-01-27 12:00:00,9,31,0
282,11,2024-02-26 12:00:00,7,95,2
283,11,2024-03-27 12:00:00,20,73,3
284,11,2024-04-26 12:00:00,29,61,2
285,11,2024-05-26 12:00:00,17,94,0
286,11,2024-06-25 12:00:00,8,75,5
287,12,2022-06-07 00:00:00,95,252,9
288,12,2022-07-07 00:00:00,98,449,5
289,12,2022-08-06 00:00:00,47,261,19
290,12,2022-09-05 00:00:00,78,197,18
291,12,2022-10-05 00:00:00,106,65,4
292,12,2022-11-04 00:00:00,92,276,20
293,12,2022-12-04 00:00:00,146,485,12
294,12,2023-01-03 00:00:00,91,160,7
295,12,2023-02-02 00:00:00,38,386,7
296,12,2023-03-04 00:00:00,117,329,7
297,12,2023-04-03 00:00:00,150,488,13
298,12,2023-05-03 00:00:00,92,167,10
299,12,2023-06-02 00:00:00,54,380,10
300,12,2023-07-02 00:00:00,72,78,6
301,12,2023-08-01 00:00:00,33,184,20
302,12,2023-08-31 00:00:00,110,228,8
303,12,2023-09-30 00:00:00,116,418,13
304,12,2023-10-30 00:00:00,25,311,15
305,12,2023-11-29 00:00:00,59,309,5
306,12,2023-12-29 00:00:00,85,202,18
307,12,2024-01-28 00:00:00,111,56,7
308,12,2024-02-27 00:00:00,46,364,13
309,12,2024-03-28 00:00:00,74,474,14
310,12,2024-04-27 00:00:00,98,245,12
311,12,2024-05-27 00:00:00,132,235,18
312,12,2024-06-26 00:00:00,82,386,9
313,13,2022-06-07 12:00:00,148,469,7
314,13,2022-07-07 12:00:00,28,289,19
315,13,2022-08-06 12:00:00,108,215,19
316,13,2022-09-05 12:00:00,142,158,5
317,13,2022-10-05 12:00:00,46,169,9
318,13,2022-11-04 12:00:00,147,198,7
319,13,2022-12-04 12:00:00,28,437,20
320,13,2023-01-03 12:00:00,143,57,14
321,13,2023-02-02 12:00:00,126,188,9
322,13,2023-03-04 12:00:00,86,126,10
323,13,2023-04-03 12:00:00,81,168,16
324,13,2023-05-03 12:00:00,112,427,9
325,13,2023-06-02 12:00:00,89,483,5
326,13,2023-07-02 12:00:00,141,346,4
327,13,2023-08-01 12:00:00,29,461,8
328,13,2023-08-31 12:00:00,41,297,8
329,13,2023-09-30 12:00:00,105,474,18
330,13,2023-10-30 12:00:00,66,126,7
331,13,2023-11-29 12:00:00,72,310,17
332,13,2023-12-29 12:00:00,47,153,14
333,13,2024-01-28 12:00:00,125,152,14
334,13,2024-02-27 12:00:00,28,378,6
335,13,2024-03-28 12:00:00,26,338,19
336,13,2024-04-27 12:00:00,70,67,14
337,13,2024-05-27 12:00:00,72,56,11
338,13,2024-06-26 12:00:00,122,319,3
339,14,2022-06-08 00:00:00,34,143,2
340,14,2022-07-08 00:00:00,71,359,12
341,14,2022-08-07 00:00:00,148,293,10
342,14,2022-09-06 00:00:00,125,305,15
343,14,2022-10-06 00:00:00,131,296,4
344,14,2022-11-05 00:00:00,140,54,8
345,14,2022-12-05 00:00:00,97,78,14
346,14,2023-01-04 00:00:00,71,233,6
347,14,2023-02-03 00:00:00,105,127,14
348,14,2023-03-05 00:00:00,54,205,15
349,14,2023-04-04 00:00:00,29,52,17
350,14,2023-05-04 00:00:00,127,247,10
351,14,2023-06-03 00:00:00,97,149,9
352,14,2023-07-03 00:00:00,144,426,18
353,14,2023-08-02 00:00:00,101,279,13
354,14,2023-09-01 00:00:00,92,452,19
355,14,2023-10-01 00:00:00,94,280,20
356,14,2023-10-31 00:00:00,37,310,16
357,14,2023-11-30 00:00:00,140,218,2
358,14,2023-12-30 00:00:00,95,420,12
359,14,2024-01-29 00:00:00,44,455,12
360,14,2024-02-28 00:00:00,139,442,17
361,14,2024-03-29 00:00:00,91,222,7
362,14,2024-04-28 00:00:00,129,343,7
363,14,2024-05-28 00:00:00,32,207,10
364,14,2024-06-27 00:00:00,63,325,11
365,15,2022-06-08 12:00:00,54,441,11
366,15,2022-07-08 12:00:00,71,209,5
367,15,2022-08-07 12:00:00,47,320,13
368,15,2022-09-06 12:00:00,100,342,20
369,15,2022-10-06 12:00:00,104,330,11
370,15,2022-11-05 12:00:00,20,465,16
371,15,2022-12-05 12:00:00,48,102,20
372,15,2023-01-04 12:00:00,85,498,6
373,15,2023-02-03 12:00:00,103,396,11
374,15,2023-03-05 12:00:00,41,413,11
375,15,2023-04-04 12:00:00,48,179,5
376,15,2023-05-04 12:00:00,83,351,3
377,15,2023-06-03 12:00:00,98,264,14
378,15,2023-07-03 12:00:00,32,56,17
379,15,2023-08-02 12:00:00,81,398,5
380,15,2023-09-01 12:00:00,39,241,18
381,15,2023-10-01 12:00:00,79,357,6
382,15,2023-10-31 12:00:00,139,452,15
383,15,2023-11-30 12:00:00,115,260,18
384,15,2023-12-30 12:00:00,104,369,14
385,15,2024-01-29 12:00:00,90,180,16
386,15,2024-02-28 12:00:00,138,345,12
387,15,2024-03-29 12:00:00,103,427,15
388,15,2024-04-28 12:00:00,65,417,13
389,15,2024-05-28 12:00:00,105,69,16
390,15,2024-06-27 12:00:00,132,255,10
391,16,2022-06-09 00:00:00,20,98,2
392,16,2022-07-09 00:00:00,30,10,1
